Login ID,Repo Count,Follower Count,Member Since
erinata,85.0,93.0,20101223.0
sco,32.0,513.0,20080216.0
voodootikigod,125.0,660.0,20080219.0
piclez,39.0,48.0,20080224.0
brianleroux,360.0,1741.0,20080226.0
coty,73.0,66.0,20080227.0
clarkbw,82.0,391.0,20080304.0
orlin,43.0,51.0,20080306.0
jacques,386.0,90.0,20080307.0
baron,24.0,41.0,20080309.0
stinie,138.0,52.0,20080313.0
thomd,105.0,25.0,20080318.0
quinn,134.0,65.0,20080325.0
jevon,2.0,40.0,20080402.0
hlb,40.0,227.0,20080403.0
eoin,4.0,86.0,20080403.0
thekvn,23.0,39.0,20080407.0
jhaynie,112.0,374.0,20080409.0
wilsonminer,7.0,99.0,20080409.0
asoltys,204.0,149.0,20080416.0
collin,236.0,178.0,20080418.0
fling,4.0,26.0,20080505.0
peterpunk,4.0,47.0,20080508.0
diclophis,106.0,120.0,20080513.0
jaredhanson,408.0,3418.0,20080515.0
rchk,9.0,33.0,20080516.0
mlynch,122.0,1313.0,20080522.0
grantmichaels,10.0,48.0,20080621.0
frozzare,296.0,208.0,20080622.0
johnantoni,535.0,118.0,20080630.0
silentrob,112.0,316.0,20080704.0
roy,35.0,15.0,20080304.0
Wijnand,12.0,16.0,20080610.0
arjan,239.0,168.0,20080915.0
archan937,66.0,82.0,20090208.0
bulters,75.0,13.0,20090223.0
michaelkoper,38.0,23.0,20090517.0
sajoku,99.0,17.0,20100907.0
chrisobdam,4.0,6.0,20110224.0
pomazanbohdan,11.0,6.0,20110329.0
evinw,8.0,1398.0,20110611.0
jameskyokushin,30.0,19.0,20110804.0
ssleptsov,29.0,100.0,20111203.0
innomarkglobal,0.0,14.0,20121010.0
grdw,6.0,21.0,20121029.0
ayeminag,28.0,27.0,20121030.0
KevinHock,39.0,4695.0,20121219.0
Frenchcooc,21.0,47.0,20130113.0
cusspvz,159.0,7743.0,20130215.0
VagrantStory,9.0,1987.0,20130405.0
Xyphex,9.0,5.0,20130627.0
gabrielpconceicao,24.0,1878.0,20130731.0
Hamz-a,33.0,189.0,20130828.0
oerorrloigd,204.0,1224.0,20130919.0
angusshire,18.0,12326.0,20131107.0
dalinhuang99,-1.0,-1.0,0.0
takwpoc,9.0,30.0,20140129.0
MichalPaszkiewicz,66.0,5384.0,20140213.0
dplewis,120.0,1748.0,20141118.0
pengliheng,-1.0,-1.0,0.0
Bitonics,2.0,75.0,20180123.0
kaichen,52.0,381.0,20080328.0
dejan,19.0,148.0,20080403.0
huacnlee,120.0,4686.0,20080407.0
ynog,17.0,52.0,20080408.0
hsytlpboo,96.0,629.0,20080409.0
winfield,13.0,41.0,20080412.0
tomlion,46.0,162.0,20080419.0
eoeberhn,25.0,190.0,20080422.0
cashplk,2.0,29.0,20080424.0
ysorigin,7.0,29.0,20080508.0
sishen,57.0,675.0,20080522.0
RobinWu,50.0,32.0,20080608.0
jlisbz,82.0,21.0,20080611.0
pmq20,202.0,765.0,20080611.0
crazycode,212.0,67.0,20080622.0
saberma,37.0,675.0,20080626.0
liangwenke,37.0,31.0,20080904.0
caingougou,6.0,27.0,20080927.0
ogeali,18.0,15.0,20080928.0
lidaobing,119.0,619.0,20081004.0
ahzkao,9.0,10.0,20081029.0
yatwql,61.0,6.0,20081107.0
lnsoso,849.0,0.0,20081108.0
nhnkete,121.0,83.0,20081108.0
sorrycc,202.0,12816.0,20081118.0
doitian,191.0,324.0,20081121.0
tualatrix,102.0,1410.0,20081121.0
ihcunz,27.0,161.0,20081127.0
xiaods,209.0,385.0,20081202.0
yorzi,72.0,116.0,20081208.0
mehdimays,57.0,18.0,20110515.0
rueeiluqdaenr,1.0,1.0,20121002.0
lumberjackchef,8.0,15.0,20140523.0
Kakise,60.0,1078.0,20160424.0
MafujShikder,23.0,1517.0,20171214.0
shmuel7e,12.0,17.0,20181005.0
jm,132.0,509.0,20080129.0
skyfallsin,20.0,70.0,20080226.0
adambair,61.0,112.0,20080226.0
mbleigh,147.0,885.0,20080227.0
anrenidblm,118.0,144.0,20080229.0
cselmer,24.0,79.0,20080304.0
brentmc79,20.0,55.0,20080310.0
onnenajaostnhl,2.0,50.0,20080321.0
naffis,28.0,73.0,20080325.0
rayvinly,11.0,313.0,20080326.0
jondkinney,73.0,95.0,20080403.0
thadd,22.0,63.0,20080403.0
raecoo,20.0,98.0,20080404.0
yong,17.0,52.0,20080408.0
xanj,103.0,1042.0,20080409.0
poshboytl,96.0,629.0,20080409.0
lgn21st,92.0,679.0,20080413.0
eeerbhno,25.0,190.0,20080422.0
isfpalsers,18.0,86.0,20080426.0
peteonrails,67.0,83.0,20080507.0
giskiw,57.0,108.0,20080513.0
ssoper,52.0,89.0,20080605.0
rociiu,76.0,112.0,20080910.0
davidpots,46.0,77.0,20081016.0
tomz,132.0,111.0,20081101.0
knpftouy,86.0,1291.0,20080115.0
tamos,170.0,1270.0,20080122.0
jcrosby,28.0,184.0,20080207.0
ellelleoooll,1406.0,317.0,20080213.0
bumi,172.0,395.0,20080216.0
brupm,31.0,56.0,20080217.0
tbtre,17.0,39.0,20080220.0
luke0x,27.0,93.0,20080226.0
rmoriz,82.0,176.0,20080228.0
lgs,1076.0,146.0,20080228.0
xavi,15.0,39.0,20080228.0
chipski,18.0,25.0,20080304.0
adamstac,103.0,734.0,20080312.0
jcfischer,72.0,54.0,20080314.0
lazzarello,152.0,169.0,20080326.0
yberlke,233.0,202.0,20080402.0
beppu,41.0,128.0,20080403.0
azisaka,1.0,72.0,20080403.0
ivanoats,359.0,290.0,20080403.0
tbaro,36.0,447.0,20080404.0
lostinpatterns,16.0,12.0,20080405.0
darwin,143.0,706.0,20080406.0
ikj,10.0,15.0,20080408.0
cnhghnuo,3.0,6.0,20080413.0
membogg,4.0,17.0,20080416.0
bcurren,33.0,39.0,20080427.0
watson,388.0,1723.0,20080517.0
igrigorik,75.0,8404.0,20080518.0
ainaltflaesr,239.0,59.0,20100613.0
rodrigooler,204.0,1224.0,20130919.0
ijagjeet,41.0,2230.0,20181219.0
superisaac,59.0,62.0,20080604.0
blnau,86.0,134.0,20081120.0
jserv,113.0,3403.0,20101112.0
trietptm,198.0,1355.0,20101217.0
mbautin,144.0,1328.0,20110108.0
KJlmfe,65.0,95.0,20111203.0
ChunMengLu,13.0,136.0,20120808.0
iHkKvonec,39.0,4695.0,20121219.0
ankitshah009,1466.0,145.0,20130209.0
eeahdh,1.0,641.0,20130512.0
vlordier,33.0,375.0,20130912.0
SummerCHINA,1.0,1.0,20131114.0
ddjjj,0.0,0.0,20131211.0
tchnorider,16.0,290.0,20150904.0
Lisprez,411.0,1154.0,20150923.0
Linux-Player,2.0,1200.0,20161010.0
snemil,2.0,680.0,20170310.0
xiaolan98,20.0,5.0,20170913.0
andresurepno,0.0,11.0,20171207.0
s6dyl,-1.0,-1.0,0.0
xabaihuo,11.0,3.0,20180923.0
snowwhite-boss,-1.0,-1.0,0.0
glhewett,30.0,18.0,20080418.0
springnet,3.0,4.0,20080614.0
herestomwiththeweather,47.0,58.0,20080707.0
codeodor,108.0,37.0,20080906.0
cmavromoustakos,23.0,32.0,20090803.0
benwbrum,26.0,86.0,20100209.0
mashiox,47.0,52.0,20100618.0
davesag,121.0,82.0,20100904.0
shpytalenko,54.0,2.0,20110120.0
ssdavenport,14.0,9.0,20110527.0
itayheplae,38.0,22.0,20111004.0
psbioZh,47.0,58.0,20111019.0
akragcbienen,31.0,141.0,20151110.0
eaxVauMl,35.0,41.0,20120217.0
shamio,2.0,663.0,20120311.0
egxxayla,2.0,1.0,20120313.0
HkvioecKn,39.0,4695.0,20121219.0
aachokey,21.0,41.0,20130527.0
atsiarenia,2.0,14.0,20131021.0
irsshaegun,18.0,12326.0,20131107.0
hnujisolin,3.0,1.0,20150304.0
bbeinhoasyb,28.0,9.0,20150307.0
danielirimia,27.0,17.0,20150401.0
mekze-eli,32.0,18.0,20150423.0
pennyone00,0.0,2.0,20151029.0
laurenrenaud,22.0,11.0,20160109.0
ATiFrcMSEt,4.0,9.0,20160219.0
laconc,8.0,17.0,20160712.0
husvmcaetegl,28.0,28.0,20160726.0
thezedwards,497.0,569.0,20161212.0
pablete,25.0,72.0,20080219.0
tel,195.0,212.0,20080227.0
anandkunal,7.0,100.0,20080228.0
